Time,Delhi,BRPL,BYPL,NDPL,NDMC,MES
01/09/2023 00:00,6345.390,2814.820,1411.640,1834.970,190.050,33.700
01/09/2023 00:05,6329.710,2794.870,1426.480,1834.320,186.960,33.540
01/09/2023 00:10,6301.490,2782.510,1410.100,1828.490,187.110,33.410
01/09/2023 00:15,6265.050,2772.370,1393.820,1819.770,185.590,33.440
01/09/2023 00:20,6244.410,2764.170,1394.470,1808.570,185.410,33.370
01/09/2023 00:25,6215.350,2748.790,1387.680,1802.040,184.620,33.070
01/09/2023 00:30,6184.650,2736.800,1378.450,1792.520,184.150,33.020
01/09/2023 00:35,6133.010,2717.190,1366.130,1777.690,182.710,33.030
01/09/2023 00:40,6118.020,2707.810,1362.240,1774.070,182.680,33.030
01/09/2023 00:45,6087.460,2690.770,1355.840,1768.420,181.670,32.960
01/09/2023 00:50,6064.370,2686.310,1349.830,1756.480,181.320,32.860
01/09/2023 00:55,6029.380,2660.260,1349.340,1748.570,181.210,32.820
01/09/2023 01:00,6004.780,2658.250,1341.520,1734.950,180.050,33.030
01/09/2023 01:05,5971.940,2645.550,1332.900,1724.800,178.870,32.900
01/09/2023 01:10,5947.080,2632.990,1328.500,1718.380,177.860,32.940
01/09/2023 01:15,5897.070,2612.730,1312.870,1705.750,177.100,32.690
01/09/2023 01:20,5884.960,2609.080,1310.110,1702.980,176.090,32.660
01/09/2023 01:25,5854.440,2594.450,1301.390,1695.350,175.060,32.570
01/09/2023 01:30,5829.360,2580.620,1296.120,1689.310,173.350,32.510
01/09/2023 01:35,5791.180,2548.350,1309.760,1673.300,172.550,32.310
01/09/2023 01:40,5768.750,2545.580,1285.090,1678.870,172.130,32.200
01/09/2023 01:45,5731.060,2521.800,1297.680,1659.690,171.670,32.140
01/09/2023 01:50,5703.640,2515.630,1272.020,1659.040,170.550,32.160
01/09/2023 01:55,5669.240,2498.860,1264.540,1649.500,170.500,32.010
01/09/2023 02:00,5651.230,2487.130,1269.780,1645.950,170.180,31.900
01/09/2023 02:05,5628.340,2472.830,1273.980,1626.430,169.480,32.040
01/09/2023 02:10,5611.290,2470.990,1251.220,1633.940,169.600,32.010
01/09/2023 02:15,5586.650,2457.030,1249.690,1625.630,169.400,31.880
01/09/2023 02:20,5551.140,2447.100,1236.220,1614.670,169.540,31.780
01/09/2023 02:25,5546.390,2445.300,1234.590,1613.130,168.940,31.770
01/09/2023 02:30,5534.590,2435.760,1234.650,1610.620,169.240,31.770
01/09/2023 02:35,5502.230,2429.370,1222.820,1599.720,166.800,31.540
01/09/2023 02:40,5488.540,2415.580,1223.160,1599.040,167.070,31.530
01/09/2023 02:45,5465.830,2395.600,1234.230,1586.150,166.410,31.590
01/09/2023 02:50,5418.220,2395.350,1190.420,1582.850,166.680,31.470
01/09/2023 02:55,5417.160,2387.510,1206.170,1573.250,165.330,31.450
01/09/2023 03:00,5387.340,2371.060,1200.250,1567.870,165.710,31.400
01/09/2023 03:05,5369.310,2352.450,1211.700,1557.240,165.430,31.350
01/09/2023 03:10,5332.440,2347.830,1183.450,1554.250,164.830,31.240
01/09/2023 03:15,5320.230,2334.040,1200.580,1537.910,165.640,31.170
01/09/2023 03:20,5299.820,2328.770,1183.450,1541.810,164.870,30.970
01/09/2023 03:25,5277.500,2310.550,1193.810,1527.160,164.850,31.070
01/09/2023 03:30,5274.790,2314.010,1177.570,1539.150,162.760,31.010
01/09/2023 03:35,5235.050,2298.450,1168.390,1524.570,163.030,30.870
01/09/2023 03:40,5214.830,2284.330,1165.550,1520.230,163.700,30.910
01/09/2023 03:45,5192.760,2283.110,1153.830,1514.330,160.960,30.940
01/09/2023 03:50,5175.570,2273.790,1152.610,1509.040,161.450,30.800
01/09/2023 03:55,5166.120,2266.460,1147.780,1510.950,161.020,30.830
01/09/2023 04:00,5130.900,2254.060,1141.200,1494.390,161.980,30.730
01/09/2023 04:05,5092.130,2239.630,1128.830,1483.320,161.340,30.630
01/09/2023 04:10,5067.610,2230.160,1122.660,1474.270,161.770,30.600
01/09/2023 04:15,5068.020,2230.970,1125.880,1472.410,160.160,30.490
01/09/2023 04:20,5063.190,2221.110,1126.790,1476.240,160.550,30.430
01/09/2023 04:25,5043.460,2215.760,1118.430,1470.030,160.890,30.400
01/09/2023 04:30,5023.220,2203.600,1114.750,1465.790,160.690,30.690
01/09/2023 04:35,4995.630,2196.970,1108.010,1451.900,160.700,30.550
01/09/2023 04:40,4984.660,2181.270,1111.570,1453.340,160.910,30.420
01/09/2023 04:45,4979.590,2182.630,1106.620,1450.370,161.400,30.460
